file,k,bestRandRun,bestRandVal,bestJaccardRun,bestJaccardVal
ecoli.txt,8,63,0.8803837953091684,63,0.6172607879924953
ionosphere.txt,2,1,0.5889295889295889,16,0.5384056175134242
iris_bezdek.txt,3,10,0.8859060402684564,10,0.7052023121387283
landsat.txt,6,62,0.8637914014973387,62,0.5043409812182029
letter_recognition.txt,26,92,0.934325576278814,88,0.1035648551021108
mfeat-fou.txt,10,29,0.9045617808904453,29,0.3705799291337024
optdigits.txt,10,65,0.950801329247045,65,0.6080603194480674
ruspini.txt,4,1,1.0,1,1.0
wine.txt,3,95,0.9620389767028502,95,0.8929466523451486
yeast.txt,10,20,0.7551695495944151,80,0.1964174019881604
